Time,ri
0.1,34.12458444202227
1.0,107.91141104353646
2.0,152.60978103258705
5.0,241.29725064126902
10.0,341.2458444202226
20.0,482.59450128253803
50.0,763.0489051629352
100.0,1079.1141104353646
