x,y,radius,drawdown
107.9379419236144,-1492.0620580763857,1261.56626101008,0.6566535718828918
152.54104482743367,-1492.0620580763857,1230.4313862063395,0.6093065206784984
197.14414773125293,-1492.0620580763857,1200.1467556018526,0.5620886922325692
241.7472506350723,-1492.0620580763857,1170.7783510891159,0.5151473425470553
286.35035353889157,-1492.0620580763857,1142.3968370726268,0.4686509060547624
330.95345644271083,-1492.0620580763857,1115.077572595482,0.42279046679448207
375.5565593465301,-1492.0620580763857,1088.900512459527,0.3777808968941767
420.15966225034936,-1492.0620580763857,1063.9499672170236,0.3338614907326496
464.7627651541686,-1492.0620580763857,1040.3141895720198,0.29129589220247143
509.3658680579879,-1492.0620580763857,1018.0847542744016,0.25037108845416484
553.9689709618071,-1492.0620580763857,997.3557010035818,0.211395233397241
598.5720738656264,-1492.0620580763857,978.2224160895214,0.17469407669465528
643.1751767694458,-1492.0620580763857,960.7802401865856,0.1406058182636762
687.778279673265,-1492.0620580763857,945.122805831741,0.10947429242524695
732.3813825770843,-1492.0620580763857,931.3401311287031,0.08164051393473423
776.9844854809036,-1492.0620580763857,919.5165225137034,0.057432787114061724
821.5875883847228,-1492.0620580763857,909.7283682934461,0.03715577601151221
866.1906912885421,-1492.0620580763857,902.0419317067888,0.021079133326078938
910.7937941923614,-1492.0620580763857,896.5112729988796,0.00942645440881861
955.3968970961806,-1492.0620580763857,893.1764395952938,0.0023654215828180633
999.9999999999999,-1492.0620580763857,892.0620580763856,-0.0
1044.6031029038193,-1492.0620580763857,893.1764395952938,0.0023654215828180633
1089.2062058076385,-1492.0620580763857,896.5112729988796,0.00942645440881861
1133.8093087114576,-1492.0620580763857,902.0419317067888,0.021079133326078938
1178.412411615277,-1492.0620580763857,909.7283682934461,0.03715577601151221
1223.0155145190965,-1492.0620580763857,919.5165225137034,0.057432787114061724
1267.6186174229156,-1492.0620580763857,931.3401311287031,0.08164051393473423
1312.221720326735,-1492.0620580763857,945.122805831741,0.10947429242524695
1356.824823230554,-1492.0620580763857,960.7802401865856,0.1406058182636762
1401.4279261343736,-1492.0620580763857,978.2224160895214,0.17469407669465528
1446.0310290381926,-1492.0620580763857,997.3557010035818,0.211395233397241
1490.6341319420121,-1492.0620580763857,1018.0847542744015,0.2503710884541646
1535.2372348458312,-1492.0620580763857,1040.3141895720198,0.29129589220247143
1579.8403377496506,-1492.0620580763857,1063.9499672170236,0.3338614907326496
1624.4434406534697,-1492.0620580763857,1088.900512459527,0.3777808968941767
1669.0465435572892,-1492.0620580763857,1115.077572595482,0.42279046679448207
1713.6496464611082,-1492.0620580763857,1142.3968370726268,0.4686509060547624
1758.2527493649277,-1492.0620580763857,1170.7783510891156,0.5151473425470547
1802.8558522687467,-1492.0620580763857,1200.1467556018526,0.5620886922325692
1847.4589551725662,-1492.0620580763857,1230.4313862063395,0.6093065206784984
1892.0620580763857,-1492.0620580763857,1261.56626101008,0.6566535718828918
107.9379419236144,-1447.4589551725662,1230.4313862063395,0.6093065206784984
152.54104482743367,-1447.4589551725662,1198.487947959576,0.559468079629958
197.14414773125293,-1447.4589551725662,1167.3749184492333,0.5096314559208005
241.7472506350723,-1447.4589551725662,1137.1604603668075,0.4599462428059939
286.35035353889157,-1447.4589551725662,1107.918092006915,0.4105861002408561
330.95345644271083,-1447.4589551725662,1079.726797920721,0.3617508891934553
375.5565593465301,-1447.4589551725662,1052.6710270912379,0.3136685233532332
420.15966225034936,-1447.4589551725662,1026.8405416537696,0.2665963331383022
464.7627651541686,-1447.4589551725662,1002.3300745101832,0.22082168780605943
509.3658680579879,-1447.4589551725662,979.2387513414027,0.17666157657472445
553.9689709618071,-1447.4589551725662,957.6692328602016,0.13446081822020534
598.5720738656264,-1447.4589551725662,937.7265382736706,0.09458856312557375
643.1751767694458,-1447.4589551725662,919.5165225137034,0.057432787114061724
687.778279673265,-1447.4589551725662,903.143999230446,0.0233925675691119
732.3813825770843,-1447.4589551725662,888.7105294152482,-0.00713190960584339
776.9844854809036,-1447.4589551725662,876.3119310031076,-0.03375143708524122
821.5875883847228,-1447.4589551725662,866.0356051113355,-0.05610151081322103
866.1906912885421,-1447.4589551725662,857.9578146972123,-0.07385693271409777
910.7937941923614,-1447.4589551725662,852.1410844788394,-0.08674625877758353
955.3968970961806,-1447.4589551725662,848.6319093051042,-0.09456487965032265
999.9999999999999,-1447.4589551725662,847.4589551725663,-0.0971854922529337
1044.6031029038193,-1447.4589551725662,848.6319093051042,-0.09456487965032265
1089.2062058076385,-1447.4589551725662,852.1410844788394,-0.08674625877758353
1133.8093087114576,-1447.4589551725662,857.9578146972123,-0.07385693271409777
1178.412411615277,-1447.4589551725662,866.0356051113355,-0.05610151081322103
1223.0155145190965,-1447.4589551725662,876.3119310031076,-0.03375143708524122
1267.6186174229156,-1447.4589551725662,888.7105294152482,-0.00713190960584339
1312.221720326735,-1447.4589551725662,903.143999230446,0.0233925675691119
1356.824823230554,-1447.4589551725662,919.5165225137034,0.057432787114061724
1401.4279261343736,-1447.4589551725662,937.7265382736706,0.09458856312557375
1446.0310290381926,-1447.4589551725662,957.6692328602015,0.13446081822020509
1490.6341319420121,-1447.4589551725662,979.2387513414027,0.17666157657472445
1535.2372348458312,-1447.4589551725662,1002.3300745101832,0.22082168780605943
1579.8403377496506,-1447.4589551725662,1026.8405416537694,0.2665963331383018
1624.4434406534697,-1447.4589551725662,1052.6710270912376,0.3136685233532327
1669.0465435572892,-1447.4589551725662,1079.7267979207209,0.3617508891934549
1713.6496464611082,-1447.4589551725662,1107.9180920069148,0.41058610024085557
